layer_name,scenario_year,data_year
res_reg_hd,2014,2014
res_reg_hd,2015,2014
res_reg_hd,2016,2014
res_reg_hd,2017,2014
res_reg_hd,2018,2014
res_reg_hd,2019,2014
res_reg_hd,2020,2014
res_reg_helcom,2010,2014
res_reg_helcom,2011,2014
res_reg_helcom,2012,2014
res_reg_helcom,2013,2014
res_reg_helcom,2014,2014
res_reg_helcom,2015,2014
res_reg_helcom,2016,2014
res_reg_helcom,2017,2014
res_reg_helcom,2018,2014
res_reg_helcom,2019,2014
res_reg_helcom,2020,2014
res_reg_ied,2010,2014
res_reg_ied,2011,2014
res_reg_ied,2012,2014
res_reg_ied,2013,2014
res_reg_ied,2014,2014
res_reg_ied,2015,2014
res_reg_ied,2016,2014
res_reg_ied,2017,2014
res_reg_ied,2018,2014
res_reg_ied,2019,2014
res_reg_ied,2020,2014
res_reg_msfd,2010,2014
res_reg_msfd,2011,2014
res_reg_msfd,2012,2014
res_reg_msfd,2013,2014
res_reg_msfd,2014,2014
res_reg_msfd,2015,2014
res_reg_msfd,2016,2014
res_reg_msfd,2017,2014
res_reg_msfd,2018,2014
res_reg_msfd,2019,2014
res_reg_msfd,2020,2014
res_reg_mspd,2010,2014
res_reg_mspd,2011,2014
res_reg_mspd,2012,2014
res_reg_mspd,2013,2014
res_reg_mspd,2014,2014
res_reg_mspd,2015,2014
res_reg_mspd,2016,2014
res_reg_mspd,2017,2014
res_reg_mspd,2018,2014
res_reg_mspd,2019,2014
res_reg_mspd,2020,2014
res_reg_nd,2010,2014
res_reg_nd,2011,2014
res_reg_nd,2012,2014
res_reg_nd,2013,2014
res_reg_nd,2014,2014
res_reg_nd,2015,2014
res_reg_nd,2016,2014
res_reg_nd,2017,2014
res_reg_nd,2018,2014
res_reg_nd,2019,2014
res_reg_nd,2020,2014
res_reg_nec,2010,2014
res_reg_nec,2011,2014
res_reg_nec,2012,2014
res_reg_nec,2013,2014
res_reg_nec,2014,2014
res_reg_nec,2015,2014
res_reg_nec,2016,2014
res_reg_nec,2017,2014
res_reg_nec,2018,2014
res_reg_nec,2019,2014
res_reg_nec,2020,2014
res_reg_pop,2010,2014
res_reg_pop,2011,2014
res_reg_pop,2012,2014
res_reg_pop,2013,2014
res_reg_pop,2014,2014
res_reg_pop,2015,2014
res_reg_pop,2016,2014
res_reg_pop,2017,2014
res_reg_pop,2018,2014
res_reg_pop,2019,2014
res_reg_pop,2020,2014
res_reg_reach,2010,2014
res_reg_reach,2011,2014
res_reg_reach,2012,2014
res_reg_reach,2013,2014
res_reg_reach,2014,2014
res_reg_reach,2015,2014
res_reg_reach,2016,2014
res_reg_reach,2017,2014
res_reg_reach,2018,2014
res_reg_reach,2019,2014
res_reg_reach,2020,2014
res_reg_uwwtd,2010,2014
res_reg_uwwtd,2011,2014
res_reg_uwwtd,2012,2014
res_reg_uwwtd,2013,2014
res_reg_uwwtd,2014,2014
res_reg_uwwtd,2015,2014
res_reg_uwwtd,2016,2014
res_reg_uwwtd,2017,2014
res_reg_uwwtd,2018,2014
res_reg_uwwtd,2019,2014
res_reg_uwwtd,2020,2014
res_reg_wfd,2010,2014
res_reg_wfd,2011,2014
res_reg_wfd,2012,2014
res_reg_wfd,2013,2014
res_reg_wfd,2014,2014
res_reg_wfd,2015,2014
res_reg_wfd,2016,2014
res_reg_wfd,2017,2014
res_reg_wfd,2018,2014
res_reg_wfd,2019,2014
res_reg_wfd,2020,2014
rgns_complete,2010,NA
rgns_complete,2011,NA
rgns_complete,2012,NA
rgns_complete,2013,NA
rgns_complete,2014,NA
rgns_complete,2015,NA
rgns_complete,2016,NA
rgns_complete,2017,NA
rgns_complete,2018,NA
rgns_complete,2019,NA
rgns_complete,2020,NA
sp_ico_assessments,2010,2013
sp_ico_assessments,2011,2013
sp_ico_assessments,2012,2013
sp_ico_assessments,2013,2013
sp_ico_assessments,2014,2013
sp_ico_assessments,2015,2013
sp_ico_assessments,2016,2013
sp_ico_assessments,2017,2013
sp_ico_assessments,2018,2013
sp_ico_assessments,2019,2013
sp_ico_assessments,2020,2013
sp_invasives,2010,2021
sp_invasives,2011,2021
sp_invasives,2012,2021
sp_invasives,2013,2021
sp_invasives,2014,2021
sp_invasives,2015,2021
sp_invasives,2016,2021
sp_invasives,2017,2021
sp_invasives,2018,2021
sp_invasives,2019,2021
sp_invasives,2020,2021
tr_accommodations,2010,2012
tr_accommodations,2011,2012
tr_accommodations,2012,2012
tr_accommodations,2013,2013
tr_accommodations,2014,2014
tr_accommodations,2015,2015
tr_accommodations,2016,2016
tr_accommodations,2017,2017
tr_accommodations,2018,2018
tr_accommodations,2019,2018
tr_accommodations,2020,2018
tr_coastal_tourism_gva,2010,2012
tr_coastal_tourism_gva,2011,2012
tr_coastal_tourism_gva,2012,2012
tr_coastal_tourism_gva,2013,2013
tr_coastal_tourism_gva,2014,2014
tr_coastal_tourism_gva,2015,2015
tr_coastal_tourism_gva,2016,2016
tr_coastal_tourism_gva,2017,2017
tr_coastal_tourism_gva,2018,2018
tr_coastal_tourism_gva,2019,2018
tr_coastal_tourism_gva,2020,2018
wgi_all,2010,2019
wgi_all,2011,2019
wgi_all,2012,2019
wgi_all,2013,2019
wgi_all,2014,2019
wgi_all,2015,2019
wgi_all,2016,2019
wgi_all,2017,2019
wgi_all,2018,2019
wgi_all,2019,2019
wgi_all,2020,2019
fis_westcod_bbmsy,2010,2009
fis_westcod_bbmsy,2011,2010
fis_westcod_bbmsy,2012,2011
fis_westcod_bbmsy,2013,2012
fis_westcod_bbmsy,2014,2013
fis_westcod_bbmsy,2015,2014
fis_westcod_bbmsy,2016,2015
fis_westcod_bbmsy,2017,2016
fis_westcod_bbmsy,2018,2017
fis_westcod_bbmsy,2019,2018
fis_westcod_bbmsy,2020,2019
fis_westcod_catch,2010,2009
fis_westcod_catch,2011,2010
fis_westcod_catch,2012,2011
fis_westcod_catch,2013,2012
fis_westcod_catch,2014,2013
fis_westcod_catch,2015,2014
fis_westcod_catch,2016,2015
fis_westcod_catch,2017,2016
fis_westcod_catch,2018,2017
fis_westcod_catch,2019,2018
fis_westcod_catch,2020,2019
fis_westcod_ffmsy,2010,2009
fis_westcod_ffmsy,2011,2010
fis_westcod_ffmsy,2012,2011
fis_westcod_ffmsy,2013,2012
fis_westcod_ffmsy,2014,2013
fis_westcod_ffmsy,2015,2014
fis_westcod_ffmsy,2016,2015
fis_westcod_ffmsy,2017,2016
fis_westcod_ffmsy,2018,2017
fis_westcod_ffmsy,2019,2018
fis_westcod_ffmsy,2020,2019
