"","region_id","dimension","goal","score"
"690","BHI-517","score","BD",87.9
"691","BHI-000","status","BD",66.6
"692","BHI-001","status","BD",87.9
"693","BHI-002","status","BD",35.1
"694","BHI-003","status","BD",30.2
"695","BHI-005","status","BD",77.2
"696","BHI-006","status","BD",30.9
"697","BHI-007","status","BD",73.6
"698","BHI-008","status","BD",76.5
"699","BHI-009","status","BD",72.9
"700","BHI-010","status","BD",73.5
"701","BHI-011","status","BD",73.2
"702","BHI-012","status","BD",28.3
"703","BHI-013","status","BD",64
"704","BHI-014","status","BD",23.7
"705","BHI-015","status","BD",21.4
"706","BHI-016","status","BD",38.5
"707","BHI-017","status","BD",38.4
"708","BHI-018","status","BD",68.7
"709","BHI-019","status","BD",33.7
"710","BHI-020","status","BD",76.4
"711","BHI-021","status","BD",65.6
"712","BHI-022","status","BD",71.3
"713","BHI-023","status","BD",81
"714","BHI-024","status","BD",84.1
"715","BHI-025","status","BD",79.4
"716","BHI-026","status","BD",54
"717","BHI-027","status","BD",73.1
"718","BHI-028","status","BD",72.1
"719","BHI-029","status","BD",72.8
"720","BHI-030","status","BD",58.9
"721","BHI-031","status","BD",67.1
"722","BHI-032","status","BD",71.6
"723","BHI-033","status","BD",62.7
"724","BHI-034","status","BD",71.5
"725","BHI-035","status","BD",71.7
"726","BHI-036","status","BD",73.3
"727","BHI-037","status","BD",84.6
"728","BHI-038","status","BD",82.9
"729","BHI-039","status","BD",78.8
"730","BHI-040","status","BD",83.1
"731","BHI-041","status","BD",86
"732","BHI-042","status","BD",85.8
"733","BHI-043","status","BD",77.8
"734","BHI-301","status","BD",69.7
"735","BHI-302","status","BD",32.7
"736","BHI-303","status","BD",63.6
"737","BHI-304","status","BD",51.3
"738","BHI-305","status","BD",63.6
"739","BHI-306","status","BD",81
"740","BHI-307","status","BD",81.1
"741","BHI-308","status","BD",71.4
"742","BHI-309","status","BD",78
"743","BHI-501","status","BD",50.3
"744","BHI-502","status","BD",30.2
"745","BHI-503","status","BD",54.4
"746","BHI-504","status","BD",75.4
"747","BHI-505","status","BD",73.3
"748","BHI-506","status","BD",53.5
"749","BHI-507","status","BD",30.3
"750","BHI-508","status","BD",55.8
"751","BHI-509","status","BD",76.9
"752","BHI-510","status","BD",54
"753","BHI-511","status","BD",72.5
"754","BHI-512","status","BD",67.6
"755","BHI-513","status","BD",68.1
