region_id,year,pressure_score
BHI-025,1997,0.8
BHI-025,1998,0.87
BHI-025,1999,0.93
BHI-025,2000,0.84
BHI-025,2001,0.75
BHI-025,2002,0.69
BHI-025,2003,0.58
BHI-025,2004,0.51
BHI-025,2005,0.39
BHI-025,2006,0.44
BHI-025,2007,0.43
BHI-025,2008,0.42
BHI-025,2009,0.42
BHI-025,2010,0.53
BHI-025,2011,0.61
BHI-025,2012,0.54
BHI-025,2013,0.44
BHI-025,2014,0.4
BHI-025,2015,0.35
BHI-025,2016,0.23
BHI-025,2017,0.21
BHI-024,1997,0.8
BHI-024,1998,0.87
BHI-024,1999,0.93
BHI-024,2000,0.84
BHI-024,2001,0.75
BHI-024,2002,0.69
BHI-024,2003,0.58
BHI-024,2004,0.51
BHI-024,2005,0.39
BHI-024,2006,0.44
BHI-024,2007,0.43
BHI-024,2008,0.42
BHI-024,2009,0.42
BHI-024,2010,0.53
BHI-024,2011,0.61
BHI-024,2012,0.54
BHI-024,2013,0.44
BHI-024,2014,0.4
BHI-024,2015,0.35
BHI-024,2016,0.23
BHI-024,2017,0.21
BHI-023,1997,0.8
BHI-023,1998,0.87
BHI-023,1999,0.93
BHI-023,2000,0.84
BHI-023,2001,0.75
BHI-023,2002,0.69
BHI-023,2003,0.58
BHI-023,2004,0.51
BHI-023,2005,0.39
BHI-023,2006,0.44
BHI-023,2007,0.43
BHI-023,2008,0.42
BHI-023,2009,0.42
BHI-023,2010,0.53
BHI-023,2011,0.61
BHI-023,2012,0.54
BHI-023,2013,0.44
BHI-023,2014,0.4
BHI-023,2015,0.35
BHI-023,2016,0.23
BHI-023,2017,0.21
BHI-022,1997,0.8
BHI-022,1998,0.87
BHI-022,1999,0.93
BHI-022,2000,0.84
BHI-022,2001,0.75
BHI-022,2002,0.69
BHI-022,2003,0.58
BHI-022,2004,0.51
BHI-022,2005,0.39
BHI-022,2006,0.44
BHI-022,2007,0.43
BHI-022,2008,0.42
BHI-022,2009,0.42
BHI-022,2010,0.53
BHI-022,2011,0.61
BHI-022,2012,0.54
BHI-022,2013,0.44
BHI-022,2014,0.4
BHI-022,2015,0.35
BHI-022,2016,0.23
BHI-022,2017,0.21
BHI-021,1997,0.8
BHI-021,1998,0.87
BHI-021,1999,0.93
BHI-021,2000,0.84
BHI-021,2001,0.75
BHI-021,2002,0.69
BHI-021,2003,0.58
BHI-021,2004,0.51
BHI-021,2005,0.39
BHI-021,2006,0.44
BHI-021,2007,0.43
BHI-021,2008,0.42
BHI-021,2009,0.42
BHI-021,2010,0.53
BHI-021,2011,0.61
BHI-021,2012,0.54
BHI-021,2013,0.44
BHI-021,2014,0.4
BHI-021,2015,0.35
BHI-021,2016,0.23
BHI-021,2017,0.21
BHI-020,1997,0.8
BHI-020,1998,0.87
BHI-020,1999,0.93
BHI-020,2000,0.84
BHI-020,2001,0.75
BHI-020,2002,0.69
BHI-020,2003,0.58
BHI-020,2004,0.51
BHI-020,2005,0.39
BHI-020,2006,0.44
BHI-020,2007,0.43
BHI-020,2008,0.42
BHI-020,2009,0.42
BHI-020,2010,0.53
BHI-020,2011,0.61
BHI-020,2012,0.54
BHI-020,2013,0.44
BHI-020,2014,0.4
BHI-020,2015,0.35
BHI-020,2016,0.23
BHI-020,2017,0.21
BHI-019,1997,0.8
BHI-019,1998,0.87
BHI-019,1999,0.93
BHI-019,2000,0.84
BHI-019,2001,0.75
BHI-019,2002,0.69
BHI-019,2003,0.58
BHI-019,2004,0.51
BHI-019,2005,0.39
BHI-019,2006,0.44
BHI-019,2007,0.43
BHI-019,2008,0.42
BHI-019,2009,0.42
BHI-019,2010,0.53
BHI-019,2011,0.61
BHI-019,2012,0.54
BHI-019,2013,0.44
BHI-019,2014,0.4
BHI-019,2015,0.35
BHI-019,2016,0.23
BHI-019,2017,0.21
BHI-018,1997,0.8
BHI-018,1998,0.87
BHI-018,1999,0.93
BHI-018,2000,0.84
BHI-018,2001,0.75
BHI-018,2002,0.69
BHI-018,2003,0.58
BHI-018,2004,0.51
BHI-018,2005,0.39
BHI-018,2006,0.44
BHI-018,2007,0.43
BHI-018,2008,0.42
BHI-018,2009,0.42
BHI-018,2010,0.53
BHI-018,2011,0.61
BHI-018,2012,0.54
BHI-018,2013,0.44
BHI-018,2014,0.4
BHI-018,2015,0.35
BHI-018,2016,0.23
BHI-018,2017,0.21
BHI-017,1997,0.8
BHI-017,1998,0.87
BHI-017,1999,0.93
BHI-017,2000,0.84
BHI-017,2001,0.75
BHI-017,2002,0.69
BHI-017,2003,0.58
BHI-017,2004,0.51
BHI-017,2005,0.39
BHI-017,2006,0.44
BHI-017,2007,0.43
BHI-017,2008,0.42
BHI-017,2009,0.42
BHI-017,2010,0.53
BHI-017,2011,0.61
BHI-017,2012,0.54
BHI-017,2013,0.44
BHI-017,2014,0.4
BHI-017,2015,0.35
BHI-017,2016,0.23
BHI-017,2017,0.21
BHI-016,1997,0.8
BHI-016,1998,0.87
BHI-016,1999,0.93
BHI-016,2000,0.84
BHI-016,2001,0.75
BHI-016,2002,0.69
BHI-016,2003,0.58
BHI-016,2004,0.51
BHI-016,2005,0.39
BHI-016,2006,0.44
BHI-016,2007,0.43
BHI-016,2008,0.42
BHI-016,2009,0.42
BHI-016,2010,0.53
BHI-016,2011,0.61
BHI-016,2012,0.54
BHI-016,2013,0.44
BHI-016,2014,0.4
BHI-016,2015,0.35
BHI-016,2016,0.23
BHI-016,2017,0.21
BHI-015,1997,0.8
BHI-015,1998,0.87
BHI-015,1999,0.93
BHI-015,2000,0.84
BHI-015,2001,0.75
BHI-015,2002,0.69
BHI-015,2003,0.58
BHI-015,2004,0.51
BHI-015,2005,0.39
BHI-015,2006,0.44
BHI-015,2007,0.43
BHI-015,2008,0.42
BHI-015,2009,0.42
BHI-015,2010,0.53
BHI-015,2011,0.61
BHI-015,2012,0.54
BHI-015,2013,0.44
BHI-015,2014,0.4
BHI-015,2015,0.35
BHI-015,2016,0.23
BHI-015,2017,0.21
BHI-014,1997,0.8
BHI-014,1998,0.87
BHI-014,1999,0.93
BHI-014,2000,0.84
BHI-014,2001,0.75
BHI-014,2002,0.69
BHI-014,2003,0.58
BHI-014,2004,0.51
BHI-014,2005,0.39
BHI-014,2006,0.44
BHI-014,2007,0.43
BHI-014,2008,0.42
BHI-014,2009,0.42
BHI-014,2010,0.53
BHI-014,2011,0.61
