"region_id","year","surf_temp_pressure"
"BHI-014",2005,0.3
"BHI-015",2005,0.3
"BHI-016",2005,0.3
"BHI-017",2005,0.3
"BHI-018",2005,0.32
"BHI-019",2005,0.32
"BHI-020",2005,0.11
"BHI-021",2005,0.11
"BHI-022",2005,0.11
"BHI-023",2005,0.11
"BHI-024",2005,0.11
"BHI-025",2005,0.11
"BHI-026",2005,0.11
"BHI-027",2005,0.26
"BHI-028",2005,0.26
"BHI-029",2005,0.16
"BHI-030",2005,0.16
"BHI-031",2005,0.16
"BHI-032",2005,0.29
"BHI-033",2005,0.29
"BHI-034",2005,0.29
"BHI-035",2005,0.47
"BHI-036",2005,0.47
"BHI-037",2005,0.23
"BHI-038",2005,0.23
"BHI-039",2005,0.5
"BHI-040",2005,0.5
"BHI-041",2005,0.56
"BHI-042",2005,0.56
"BHI-043",2005,0.43
"BHI-001",2006,0.41
"BHI-002",2006,0.41
"BHI-003",2006,0.43
"BHI-005",2006,0.37
"BHI-006",2006,0.37
"BHI-007",2006,0.29
"BHI-008",2006,0.29
"BHI-009",2006,0.43
"BHI-010",2006,0.43
"BHI-011",2006,0.47
"BHI-012",2006,0.47
"BHI-013",2006,0.47
"BHI-014",2006,0.27
"BHI-015",2006,0.27
"BHI-016",2006,0.27
"BHI-017",2006,0.27
"BHI-018",2006,0.27
"BHI-019",2006,0.27
"BHI-020",2006,0.1
"BHI-021",2006,0.1
"BHI-022",2006,0.1
"BHI-023",2006,0.1
"BHI-024",2006,0.1
"BHI-025",2006,0.1
"BHI-026",2006,0.12
"BHI-027",2006,0.3
"BHI-028",2006,0.3
"BHI-029",2006,0.16
"BHI-030",2006,0.16
"BHI-031",2006,0.16
"BHI-032",2006,0.26
"BHI-033",2006,0.26
"BHI-034",2006,0.26
"BHI-035",2006,0.43
"BHI-036",2006,0.43
"BHI-037",2006,0.24
"BHI-038",2006,0.24
"BHI-039",2006,0.52
"BHI-040",2006,0.52
"BHI-041",2006,0.59
"BHI-042",2006,0.59
"BHI-043",2006,0.39
"BHI-001",2007,0.39
"BHI-002",2007,0.39
"BHI-003",2007,0.41
"BHI-005",2007,0.37
"BHI-006",2007,0.37
"BHI-007",2007,0.31
"BHI-008",2007,0.31
"BHI-009",2007,0.44
"BHI-010",2007,0.44
"BHI-011",2007,0.44
"BHI-012",2007,0.44
"BHI-013",2007,0.44
"BHI-014",2007,0.22
"BHI-015",2007,0.22
"BHI-016",2007,0.22
"BHI-017",2007,0.22
"BHI-018",2007,0.27
"BHI-019",2007,0.27
"BHI-020",2007,0.1
"BHI-021",2007,0.1
"BHI-022",2007,0.1
"BHI-023",2007,0.1
"BHI-024",2007,0.1
"BHI-025",2007,0.1
"BHI-026",2007,0.11
"BHI-027",2007,0.35
"BHI-028",2007,0.35
"BHI-029",2007,0.13
"BHI-030",2007,0.13
"BHI-031",2007,0.13
"BHI-032",2007,0.25
"BHI-033",2007,0.25
"BHI-034",2007,0.25
"BHI-035",2007,0.42
"BHI-036",2007,0.42
