region_id,year,pressure_score
BHI-016,1999,0.76
BHI-016,2000,0.75
BHI-016,2001,0.58
BHI-016,2002,0.54
BHI-016,2003,0.39
BHI-016,2004,0.32
BHI-016,2005,0.19
BHI-016,2006,0.27
BHI-016,2007,0.35
BHI-016,2008,0.35
BHI-016,2009,0.32
BHI-016,2010,0.41
BHI-016,2011,0.51
BHI-016,2012,0.49
BHI-016,2013,0.33
BHI-016,2014,0.16
BHI-016,2015,0.1
BHI-016,2016,0.03
BHI-016,2017,0.23
BHI-015,1997,0.66
BHI-015,1998,0.75
BHI-015,1999,0.76
BHI-015,2000,0.75
BHI-015,2001,0.58
BHI-015,2002,0.54
BHI-015,2003,0.39
BHI-015,2004,0.32
BHI-015,2005,0.19
BHI-015,2006,0.27
BHI-015,2007,0.35
BHI-015,2008,0.35
BHI-015,2009,0.32
BHI-015,2010,0.41
BHI-015,2011,0.51
BHI-015,2012,0.49
BHI-015,2013,0.33
BHI-015,2014,0.16
BHI-015,2015,0.1
BHI-015,2016,0.03
BHI-015,2017,0.23
BHI-014,1997,0.66
BHI-014,1998,0.75
BHI-014,1999,0.76
BHI-014,2000,0.75
BHI-014,2001,0.58
BHI-014,2002,0.54
BHI-014,2003,0.39
BHI-014,2004,0.32
BHI-014,2005,0.19
BHI-014,2006,0.27
BHI-014,2007,0.35
BHI-014,2008,0.35
BHI-014,2009,0.32
BHI-014,2010,0.41
BHI-014,2011,0.51
BHI-014,2012,0.49
BHI-014,2013,0.33
BHI-014,2014,0.16
BHI-014,2015,0.1
BHI-014,2016,0.03
BHI-014,2017,0.23
BHI-013,1997,0.66
BHI-013,1998,0.75
BHI-013,1999,0.76
BHI-013,2000,0.75
BHI-013,2001,0.58
BHI-013,2002,0.54
BHI-013,2003,0.39
BHI-013,2004,0.32
BHI-013,2005,0.19
BHI-013,2006,0.27
BHI-013,2007,0.35
BHI-013,2008,0.35
BHI-013,2009,0.32
BHI-013,2010,0.41
BHI-013,2011,0.51
BHI-013,2012,0.49
BHI-013,2013,0.33
BHI-013,2014,0.16
BHI-013,2015,0.1
BHI-013,2016,0.03
BHI-013,2017,0.23
BHI-012,1997,0.66
BHI-012,1998,0.75
BHI-012,1999,0.76
BHI-012,2000,0.75
BHI-012,2001,0.58
BHI-012,2002,0.54
BHI-012,2003,0.39
BHI-012,2004,0.32
BHI-012,2005,0.19
BHI-012,2006,0.27
BHI-012,2007,0.35
BHI-012,2008,0.35
BHI-012,2009,0.32
BHI-012,2010,0.41
BHI-012,2011,0.51
BHI-012,2012,0.49
BHI-012,2013,0.33
BHI-012,2014,0.16
BHI-012,2015,0.1
BHI-012,2016,0.03
BHI-012,2017,0.23
BHI-011,1997,0.66
BHI-011,1998,0.75
BHI-011,1999,0.76
BHI-011,2000,0.75
BHI-011,2001,0.58
BHI-011,2002,0.54
BHI-011,2003,0.39
BHI-011,2004,0.32
BHI-011,2005,0.19
BHI-011,2006,0.27
BHI-011,2007,0.35
BHI-011,2008,0.35
BHI-011,2009,0.32
BHI-011,2010,0.41
BHI-011,2011,0.51
BHI-011,2012,0.49
BHI-011,2013,0.33
BHI-011,2014,0.16
BHI-011,2015,0.1
BHI-011,2016,0.03
BHI-011,2017,0.23
BHI-010,1997,0.03
BHI-010,1998,0.11
BHI-010,1999,0.43
BHI-010,2000,0.65
BHI-010,2001,0.32
BHI-010,2002,0.32
BHI-010,2003,0.04
BHI-010,2004,0.07
BHI-010,2005,0
BHI-010,2006,0
BHI-010,2007,0.09
BHI-010,2008,0.13
BHI-010,2009,0
BHI-010,2010,0
BHI-010,2011,0
BHI-010,2012,0
BHI-010,2013,0
BHI-010,2014,0
BHI-010,2015,0
BHI-010,2016,0
BHI-010,2017,0
BHI-009,1997,0.03
BHI-009,1998,0.11
BHI-009,1999,0.43
BHI-009,2000,0.65
BHI-009,2001,0.32
BHI-009,2002,0.32
BHI-009,2003,0.04
BHI-009,2004,0.07
BHI-009,2005,0
BHI-009,2006,0
BHI-009,2007,0.09
BHI-009,2008,0.13
BHI-009,2009,0
BHI-009,2010,0
BHI-009,2011,0
BHI-009,2012,0
BHI-009,2013,0
BHI-009,2014,0
BHI-009,2015,0
BHI-009,2016,0
BHI-009,2017,0
BHI-008,1997,0.03
BHI-008,1998,0.11
BHI-008,1999,0.43
BHI-008,2000,0.65
BHI-008,2001,0.32
BHI-008,2002,0.32
BHI-008,2003,0.04
BHI-008,2004,0.07
BHI-008,2005,0
BHI-008,2006,0
