bhi_id,year,pressure_score
BHI-012,2008,0.019154838
BHI-012,2009,0.082740045
BHI-012,2010,0.107910477
BHI-012,2011,0.144234184
BHI-012,2012,0.153589343
BHI-012,2013,0.160432101
BHI-012,2014,0.174087304
BHI-012,2015,0.235566178
BHI-012,2016,0.194253748
BHI-012,2017,0.1510097
BHI-012,2018,0.116389164
BHI-012,2019,0.111329641
BHI-012,2020,0.042438272
BHI-011,1999,0.010506318
BHI-011,2000,0
BHI-011,2001,0
BHI-011,2002,0
BHI-011,2003,0
BHI-011,2004,0
BHI-011,2005,0
BHI-011,2006,0
BHI-011,2007,0
BHI-011,2008,0.019154838
BHI-011,2009,0.082740045
BHI-011,2010,0.107910477
BHI-011,2011,0.144234184
BHI-011,2012,0.153589343
BHI-011,2013,0.160432101
BHI-011,2014,0.174087304
BHI-011,2015,0.235566178
BHI-011,2016,0.194253748
BHI-011,2017,0.1510097
BHI-011,2018,0.116389164
BHI-011,2019,0.111329641
BHI-011,2020,0.042438272
BHI-010,2003,0.248943662
BHI-010,2004,0.341431925
BHI-010,2005,0.33157277
BHI-010,2006,0.3859494
BHI-010,2007,0.368658991
BHI-010,2008,0.300949529
BHI-010,2009,0.26378208
BHI-010,2010,0.303314517
BHI-010,2011,0.315217382
BHI-010,2012,0.266717494
BHI-010,2013,0.248399427
BHI-010,2014,0.240099198
BHI-010,2015,0.237122459
BHI-009,2003,0.248943662
BHI-009,2004,0.341431925
BHI-009,2005,0.33157277
BHI-009,2006,0.3859494
BHI-009,2007,0.368658991
BHI-009,2008,0.300949529
BHI-009,2009,0.26378208
BHI-009,2010,0.303314517
BHI-009,2011,0.315217382
BHI-009,2012,0.266717494
BHI-009,2013,0.248399427
BHI-009,2014,0.240099198
BHI-009,2015,0.237122459
BHI-008,1999,0.045307808
BHI-008,2000,0.02472973
BHI-008,2001,0
BHI-008,2002,0
BHI-008,2003,0.022930136
BHI-008,2004,0.09019365
BHI-008,2005,0.071432388
BHI-008,2006,0.129067523
BHI-008,2007,0.183864758
BHI-008,2008,0.201830223
BHI-008,2009,0.152960103
BHI-008,2010,0.201915877
BHI-008,2011,0.227575867
BHI-008,2012,0.179435852
BHI-008,2013,0.135304846
BHI-008,2014,0.097332946
BHI-008,2015,0.078826952
BHI-007,1999,0.045307808
BHI-007,2000,0.02472973
BHI-007,2001,0
BHI-007,2002,0
BHI-007,2003,0.022930136
BHI-007,2004,0.09019365
BHI-007,2005,0.071432388
BHI-007,2006,0.129067523
BHI-007,2007,0.183864758
BHI-007,2008,0.201830223
BHI-007,2009,0.152960103
BHI-007,2010,0.201915877
BHI-007,2011,0.227575867
BHI-007,2012,0.179435852
BHI-007,2013,0.135304846
BHI-007,2014,0.097332946
BHI-007,2015,0.078826952
BHI-006,1999,0.117205285
BHI-006,2000,0.107783101
BHI-006,2001,0.074947735
BHI-006,2002,0.092035424
BHI-006,2003,0.074301684
BHI-006,2004,0.053717334
BHI-006,2005,0.036361063
BHI-006,2007,0.086465592
BHI-006,2008,0.125814218
BHI-006,2009,0.13750121
BHI-006,2010,0.14491144
BHI-006,2011,0.144962253
BHI-006,2012,0.067022358
BHI-006,2013,0.001541328
BHI-006,2014,0
BHI-006,2015,0
BHI-005,1999,0.117205285
BHI-005,2000,0.107783101
BHI-005,2001,0.074947735
BHI-005,2002,0.092035424
BHI-005,2003,0.074301684
BHI-005,2004,0.053717334
BHI-005,2005,0.036361063
BHI-005,2007,0.086465592
BHI-005,2008,0.125814218
BHI-005,2009,0.13750121
BHI-005,2010,0.14491144
BHI-005,2011,0.144962253
BHI-005,2012,0.067022358
BHI-005,2013,0.001541328
BHI-005,2014,0
BHI-005,2015,0
BHI-004,1999,0.142212911
BHI-004,2000,0.138446242
BHI-004,2001,0.134377203
BHI-004,2002,0.141190928
BHI-004,2003,0.153650267
BHI-004,2004,0.153024534
BHI-004,2005,0.137017298
BHI-004,2006,0.157928377
BHI-004,2007,0.187008676
BHI-004,2008,0.205172913
BHI-004,2009,0.191537603
BHI-004,2010,0.224877472
BHI-004,2011,0.24492992
BHI-004,2012,0.209695432
BHI-004,2013,0.169415829
BHI-004,2014,0.149070537
BHI-004,2015,0.12342838
BHI-003,1999,0.142212911
BHI-003,2000,0.138446242
BHI-003,2001,0.134377203
BHI-003,2002,0.141190928
BHI-003,2003,0.153650267
BHI-003,2004,0.153024534
BHI-003,2005,0.137017298
BHI-003,2006,0.157928377
BHI-003,2007,0.187008676
BHI-003,2008,0.205172913
BHI-003,2009,0.191537603
BHI-003,2010,0.224877472
BHI-003,2011,0.24492992
BHI-003,2012,0.209695432
BHI-003,2013,0.169415829
BHI-003,2014,0.149070537
BHI-003,2015,0.12342838
BHI-002,1999,0
BHI-002,2000,0
BHI-002,2001,0
BHI-002,2002,0
BHI-002,2003,0
BHI-002,2004,0.008602196
BHI-002,2005,0
BHI-002,2006,0
BHI-002,2007,0
BHI-002,2008,0
BHI-002,2009,0
BHI-002,2010,0
BHI-002,2011,0
BHI-002,2012,0
BHI-002,2013,0
BHI-002,2014,0
BHI-002,2015,0
BHI-002,2016,0
BHI-002,2017,0
BHI-002,2019,0
BHI-002,2020,0
BHI-001,1999,0
BHI-001,2000,0
BHI-001,2001,0
BHI-001,2002,0
BHI-001,2003,0
BHI-001,2004,0.008602196
BHI-001,2005,0
BHI-001,2006,0
BHI-001,2007,0
BHI-001,2008,0
BHI-001,2009,0
BHI-001,2010,0
BHI-001,2011,0
BHI-001,2012,0
BHI-001,2013,0
BHI-001,2014,0
BHI-001,2015,0
BHI-001,2016,0
BHI-001,2017,0
BHI-001,2019,0
BHI-001,2020,0
