"region_id","year","surf_sal_pressure"
"BHI-026",2005,0.32
"BHI-027",2005,0.42
"BHI-028",2005,0.42
"BHI-029",2005,0.28
"BHI-030",2005,0.28
"BHI-031",2005,0.28
"BHI-032",2005,0.73
"BHI-033",2005,0.73
"BHI-034",2005,0.73
"BHI-035",2005,0.31
"BHI-036",2005,0.31
"BHI-037",2005,0.39
"BHI-038",2005,0.39
"BHI-039",2005,1
"BHI-040",2005,1
"BHI-041",2005,0.7
"BHI-042",2005,0.7
"BHI-043",2005,0.3
"BHI-001",2006,0.46
"BHI-002",2006,0.46
"BHI-003",2006,0
"BHI-005",2006,0.31
"BHI-006",2006,0.31
"BHI-007",2006,0.05
"BHI-008",2006,0.05
"BHI-009",2006,0.03
"BHI-010",2006,0.03
"BHI-011",2006,0.08
"BHI-012",2006,0.08
"BHI-013",2006,0.08
"BHI-014",2006,0.3
"BHI-015",2006,0.3
"BHI-016",2006,0.3
"BHI-017",2006,0.3
"BHI-018",2006,0.62
"BHI-019",2006,0.62
"BHI-020",2006,0.22
"BHI-021",2006,0.22
"BHI-022",2006,0.22
"BHI-023",2006,0.22
"BHI-024",2006,0.22
"BHI-025",2006,0.22
"BHI-026",2006,0.22
"BHI-027",2006,0.43
"BHI-028",2006,0.43
"BHI-029",2006,0.23
"BHI-030",2006,0.23
"BHI-031",2006,0.23
"BHI-032",2006,0.69
"BHI-033",2006,0.69
"BHI-034",2006,0.69
"BHI-035",2006,0.29
"BHI-036",2006,0.29
"BHI-037",2006,0.36
"BHI-038",2006,0.36
"BHI-039",2006,1
"BHI-040",2006,1
"BHI-041",2006,0.7
"BHI-042",2006,0.7
"BHI-043",2006,0.29
"BHI-001",2007,0.44
"BHI-002",2007,0.44
"BHI-003",2007,0
"BHI-005",2007,0.33
"BHI-006",2007,0.33
"BHI-007",2007,0.04
"BHI-008",2007,0.04
"BHI-009",2007,0.05
"BHI-010",2007,0.05
"BHI-011",2007,0.05
"BHI-012",2007,0.05
"BHI-013",2007,0.05
"BHI-014",2007,0.25
"BHI-015",2007,0.25
"BHI-016",2007,0.25
"BHI-017",2007,0.25
"BHI-018",2007,0.61
"BHI-019",2007,0.61
"BHI-020",2007,0.18
"BHI-021",2007,0.18
"BHI-022",2007,0.18
"BHI-023",2007,0.18
"BHI-024",2007,0.18
"BHI-025",2007,0.18
"BHI-026",2007,0.15
"BHI-027",2007,0.42
"BHI-028",2007,0.42
"BHI-029",2007,0.18
"BHI-030",2007,0.18
"BHI-031",2007,0.18
"BHI-032",2007,0.66
"BHI-033",2007,0.66
"BHI-034",2007,0.66
"BHI-035",2007,0.28
"BHI-036",2007,0.28
"BHI-037",2007,0.33
"BHI-038",2007,0.33
"BHI-039",2007,1
"BHI-040",2007,1
"BHI-041",2007,0.7
"BHI-042",2007,0.7
"BHI-043",2007,0.29
"BHI-001",2008,0.42
"BHI-002",2008,0.42
"BHI-003",2008,0.05
"BHI-005",2008,0.36
"BHI-006",2008,0.36
"BHI-007",2008,0.07
"BHI-008",2008,0.07
"BHI-009",2008,0.05
"BHI-010",2008,0.05
"BHI-011",2008,0.08
"BHI-012",2008,0.08
"BHI-013",2008,0.08
"BHI-014",2008,0.28
"BHI-015",2008,0.28
"BHI-016",2008,0.28
"BHI-017",2008,0.28
"BHI-018",2008,0.65
"BHI-019",2008,0.65
"BHI-020",2008,0.18
"BHI-021",2008,0.18
"BHI-022",2008,0.18
"BHI-023",2008,0.18
"BHI-024",2008,0.18
"BHI-025",2008,0.18
"BHI-026",2008,0.11
"BHI-027",2008,0.48
"BHI-028",2008,0.48
"BHI-029",2008,0.17
"BHI-030",2008,0.17
"BHI-031",2008,0.17
"BHI-032",2008,0.67
"BHI-033",2008,0.67
"BHI-034",2008,0.67
"BHI-035",2008,0.27
"BHI-036",2008,0.27
"BHI-037",2008,0.32
"BHI-038",2008,0.32
"BHI-039",2008,1
"BHI-040",2008,1
"BHI-041",2008,0.72
"BHI-042",2008,0.72
"BHI-043",2008,0.3
"BHI-001",2009,0.39
"BHI-002",2009,0.39
"BHI-003",2009,0.02
"BHI-005",2009,0.36
"BHI-006",2009,0.36
"BHI-007",2009,0.08
"BHI-008",2009,0.08
"BHI-009",2009,0.06
"BHI-010",2009,0.06
"BHI-011",2009,0.11
"BHI-012",2009,0.11
"BHI-013",2009,0.11
"BHI-014",2009,0.3
"BHI-015",2009,0.3
"BHI-016",2009,0.3
"BHI-017",2009,0.3
"BHI-018",2009,0.65
"BHI-019",2009,0.65
"BHI-020",2009,0.18
"BHI-021",2009,0.18
"BHI-022",2009,0.18
"BHI-023",2009,0.18
"BHI-024",2009,0.18
"BHI-025",2009,0.18
"BHI-026",2009,0.09
"BHI-027",2009,0.47
"BHI-028",2009,0.47
"BHI-029",2009,0.17
"BHI-030",2009,0.17
"BHI-031",2009,0.17
"BHI-032",2009,0.69
"BHI-033",2009,0.69
"BHI-034",2009,0.69
"BHI-035",2009,0.26
"BHI-036",2009,0.26
"BHI-037",2009,0.33
"BHI-038",2009,0.33
"BHI-039",2009,1
"BHI-040",2009,1
"BHI-041",2009,0.75
"BHI-042",2009,0.75
"BHI-043",2009,0.31
"BHI-001",2010,0.39
"BHI-002",2010,0.39
"BHI-003",2010,0.07
"BHI-005",2010,0.32
"BHI-006",2010,0.32
"BHI-007",2010,0.11
"BHI-008",2010,0.11
"BHI-009",2010,0.09
"BHI-010",2010,0.09
"BHI-011",2010,0.15
"BHI-012",2010,0.15
"BHI-013",2010,0.15
"BHI-014",2010,0.33
"BHI-015",2010,0.33
"BHI-016",2010,0.33
"BHI-017",2010,0.33
"BHI-018",2010,0.66
