region_id,month,year,secchi_depth
BHI-003,9,1995,6.5
BHI-003,9,1995,6.5
BHI-006,9,1995,6.5
BHI-006,9,1995,7
BHI-002,9,1995,7
BHI-002,9,1995,7
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-007,9,1995,6
BHI-007,9,1995,6
BHI-007,9,1995,6.5
BHI-007,9,1995,6.5
BHI-007,9,1995,6.5
BHI-003,9,1995,7
BHI-003,9,1995,6.5
BHI-003,9,1995,7.5
BHI-003,9,1995,8
BHI-003,9,1995,7
BHI-003,9,1995,7.5
BHI-003,9,1995,7
BHI-003,9,1995,7.5
BHI-003,9,1995,7
BHI-003,9,1995,7
BHI-003,9,1995,7
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-027,9,1995,3.5
BHI-027,9,1995,3.2
BHI-003,9,1995,7
BHI-003,9,1995,7
BHI-003,9,1995,6.5
BHI-003,9,1995,6.5
BHI-003,9,1995,6.5
BHI-003,9,1995,6.5
BHI-003,9,1995,6.5
BHI-027,9,1995,4
BHI-027,9,1995,4
BHI-012,9,1995,10.125
BHI-003,9,1995,7.5
BHI-003,9,1995,8
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-001,9,1995,7
BHI-001,9,1995,7
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-001,9,1995,8
BHI-011,9,1995,11
BHI-015,9,1995,7
BHI-015,9,1995,7
BHI-017,9,1995,7
BHI-017,9,1995,7
BHI-015,9,1995,7
BHI-015,9,1995,7
BHI-014,9,1995,8
BHI-014,9,1995,8
BHI-026,9,1995,6
BHI-041,9,1995,6.3
BHI-003,9,1995,6
BHI-024,9,1995,6
BHI-024,9,1995,6
BHI-024,9,1995,6
BHI-024,9,1995,6
BHI-038,9,1995,6.8
BHI-026,9,1995,6
BHI-026,9,1995,6
BHI-003,6,1996,9.3
BHI-003,6,1996,9.3
BHI-003,6,1996,8
BHI-001,6,1996,9
BHI-001,6,1996,7
BHI-026,6,1996,6
BHI-041,6,1996,10.5
BHI-003,6,1996,8
BHI-003,6,1996,8
BHI-038,6,1996,6.5
BHI-038,6,1996,6.5
BHI-038,6,1996,5.5
BHI-038,6,1996,6
BHI-038,6,1996,6
BHI-037,6,1996,6
BHI-011,6,1996,10.5
BHI-012,6,1996,10.833333333333334
BHI-003,6,1996,8
BHI-003,6,1996,8
BHI-038,6,1996,3.5
BHI-038,6,1996,3.5
BHI-006,6,1996,7
BHI-006,6,1996,8
BHI-041,6,1996,5.9
BHI-041,6,1996,7
BHI-041,6,1996,5.4
BHI-038,6,1996,5.2
BHI-003,6,1996,8
BHI-003,6,1996,8
BHI-003,6,1996,7.5
BHI-003,6,1996,7.5
BHI-006,6,1996,7
BHI-006,6,1996,7
BHI-003,6,1996,8
BHI-026,6,1996,6
BHI-001,6,1996,6.5
BHI-003,6,1996,7.5
BHI-003,6,1996,7.5
BHI-034,6,1996,7
BHI-032,6,1996,5
BHI-001,6,1996,6
BHI-001,6,1996,6
BHI-001,6,1996,9
BHI-001,6,1996,9
BHI-001,6,1996,9
