region_id,year,oxydebt_pressure
BHI-009,2000,NA
BHI-009,2001,NA
BHI-009,2002,NA
BHI-009,2003,NA
BHI-009,2004,NA
BHI-009,2005,NA
BHI-009,2006,NA
BHI-009,2007,NA
BHI-009,2008,NA
BHI-009,2009,NA
BHI-009,2010,NA
BHI-009,2011,NA
BHI-009,2012,NA
BHI-009,2013,NA
BHI-009,2014,NA
BHI-009,2015,NA
BHI-009,2016,NA
BHI-009,2017,NA
BHI-009,2018,NA
BHI-009,2019,NA
BHI-008,2000,NA
BHI-008,2001,NA
BHI-008,2002,NA
BHI-008,2003,NA
BHI-008,2004,NA
BHI-008,2005,NA
BHI-008,2006,NA
BHI-008,2007,NA
BHI-008,2008,NA
BHI-008,2009,NA
BHI-008,2010,NA
BHI-008,2011,NA
BHI-008,2012,NA
BHI-008,2013,NA
BHI-008,2014,NA
BHI-008,2015,NA
BHI-008,2016,NA
BHI-008,2017,NA
BHI-008,2018,NA
BHI-008,2019,NA
BHI-007,2000,NA
BHI-007,2001,NA
BHI-007,2002,NA
BHI-007,2003,NA
BHI-007,2004,NA
BHI-007,2005,NA
BHI-007,2006,NA
BHI-007,2007,NA
BHI-007,2008,NA
BHI-007,2009,NA
BHI-007,2010,NA
BHI-007,2011,NA
BHI-007,2012,NA
BHI-007,2013,NA
BHI-007,2014,NA
BHI-007,2015,NA
BHI-007,2016,NA
BHI-007,2017,NA
BHI-007,2018,NA
BHI-007,2019,NA
BHI-006,2000,NA
BHI-006,2001,NA
BHI-006,2002,NA
BHI-006,2003,NA
BHI-006,2004,NA
BHI-006,2005,NA
BHI-006,2006,NA
BHI-006,2007,NA
BHI-006,2008,NA
BHI-006,2009,NA
BHI-006,2010,NA
BHI-006,2011,NA
BHI-006,2012,NA
BHI-006,2013,NA
BHI-006,2014,NA
BHI-006,2015,NA
BHI-006,2016,NA
BHI-006,2017,NA
BHI-006,2018,NA
BHI-006,2019,NA
BHI-005,2000,NA
BHI-005,2001,NA
BHI-005,2002,NA
BHI-005,2003,NA
BHI-005,2004,NA
BHI-005,2005,NA
BHI-005,2006,NA
BHI-005,2007,NA
BHI-005,2008,NA
BHI-005,2009,NA
BHI-005,2010,NA
BHI-005,2011,NA
BHI-005,2012,NA
BHI-005,2013,NA
BHI-005,2014,NA
BHI-005,2015,NA
BHI-005,2016,NA
BHI-005,2017,NA
BHI-005,2018,NA
BHI-005,2019,NA
BHI-004,2000,NA
BHI-004,2001,NA
BHI-004,2002,NA
BHI-004,2003,NA
BHI-004,2004,NA
BHI-004,2005,NA
BHI-004,2006,NA
BHI-004,2007,NA
BHI-004,2008,NA
BHI-004,2009,NA
BHI-004,2010,NA
BHI-004,2011,NA
BHI-004,2012,NA
BHI-004,2013,NA
BHI-004,2014,NA
BHI-004,2015,NA
BHI-004,2016,NA
BHI-004,2017,NA
BHI-004,2018,NA
BHI-004,2019,NA
BHI-003,2000,NA
BHI-003,2001,NA
BHI-003,2002,NA
BHI-003,2003,NA
BHI-003,2004,NA
BHI-003,2005,NA
BHI-003,2006,NA
BHI-003,2007,NA
BHI-003,2008,NA
BHI-003,2009,NA
BHI-003,2010,NA
BHI-003,2011,NA
BHI-003,2012,NA
BHI-003,2013,NA
BHI-003,2014,NA
BHI-003,2015,NA
BHI-003,2016,NA
BHI-003,2017,NA
BHI-003,2018,NA
BHI-003,2019,NA
BHI-002,2000,NA
BHI-002,2001,NA
BHI-002,2002,NA
BHI-002,2003,NA
BHI-002,2004,NA
BHI-002,2005,NA
BHI-002,2006,NA
BHI-002,2007,NA
BHI-002,2008,NA
BHI-002,2009,NA
BHI-002,2010,NA
BHI-002,2011,NA
BHI-002,2012,NA
BHI-002,2013,NA
BHI-002,2014,NA
BHI-002,2015,NA
BHI-002,2016,NA
BHI-002,2017,NA
BHI-002,2018,NA
BHI-002,2019,NA
BHI-001,2000,NA
BHI-001,2001,NA
BHI-001,2002,NA
BHI-001,2003,NA
BHI-001,2004,NA
BHI-001,2005,NA
BHI-001,2006,NA
BHI-001,2007,NA
BHI-001,2008,NA
BHI-001,2009,NA
BHI-001,2010,NA
BHI-001,2011,NA
BHI-001,2012,NA
BHI-001,2013,NA
BHI-001,2014,NA
BHI-001,2015,NA
BHI-001,2016,NA
BHI-001,2017,NA
BHI-001,2018,NA
BHI-001,2019,NA
